Rok,Imię,Liczba,Płeć
2000,JAKUB,14497,M
2000,MATEUSZ,11454,M
2000,KACPER,8898,M
2000,MICHAŁ,8498,M
2000,PATRYK,7743,M
2000,DAWID,7063,M
2000,KAMIL,6842,M
2000,PIOTR,5608,M
2000,SZYMON,5486,M
2000,PAWEŁ,5109,M
2000,MACIEJ,4596,M
2000,BARTOSZ,4544,M
2000,DAMIAN,4514,M
2000,DOMINIK,4488,M
2000,ADRIAN,4302,M
2000,MARCIN,3773,M
2000,ŁUKASZ,3683,M
2000,KRZYSZTOF,3599,M
2000,DANIEL,3564,M
2000,SEBASTIAN,3559,M
2000,TOMASZ,3353,M
2000,FILIP,3337,M
2000,ADAM,3267,M
2000,BARTŁOMIEJ,3178,M
2000,KAROL,3084,M
2000,MIKOŁAJ,3083,M
2000,KRYSTIAN,3037,M
2000,HUBERT,2861,M
2000,KONRAD,2667,M
2000,WOJCIECH,2640,M
2000,RAFAŁ,2331,M
2000,JAN,2259,M
2000,PRZEMYSŁAW,2115,M
2000,OSKAR,1785,M
2000,GRZEGORZ,1712,M
2000,WIKTOR,1707,M
2000,ARKADIUSZ,1513,M
2000,ALEKSANDER,1340,M
2000,ARTUR,1329,M
2000,RADOSŁAW,1287,M
2000,ROBERT,1110,M
2000,MAREK,1057,M
2000,ERYK,1028,M
2000,MARCEL,965,M
2000,NORBERT,926,M
2000,MARIUSZ,822,M
2000,ANDRZEJ,783,M
2000,MAKSYMILIAN,769,M
2000,JACEK,757,M
2000,MIŁOSZ,745,M
2000,DARIUSZ,717,M
2000,CEZARY,695,M
2000,IGOR,693,M
2000,BŁAŻEJ,658,M
2000,GABRIEL,564,M
2000,JAROSŁAW,459,M
2000,ALAN,428,M
2000,STANISŁAW,422,M
2000,GRACJAN,375,M
2000,NIKODEM,375,M
2000,EMIL,369,M
2000,ALBERT,367,M
2000,ANTONI,327,M
2000,DENIS,282,M
2000,ERNEST,281,M
2000,FABIAN,277,M
2000,SŁAWOMIR,277,M
2000,TOBIASZ,277,M
2000,TYMOTEUSZ,269,M
2000,OLAF,261,M
2000,JĘDRZEJ,256,M
2000,SYLWESTER,256,M
2000,FRANCISZEK,248,M
2000,SEWERYN,247,M
2000,REMIGIUSZ,246,M
2000,KAJETAN,239,M
2000,KUBA,202,M
2000,KORNEL,195,M
2000,KEWIN,189,M
2000,BRAJAN,184,M
2000,JULIAN,164,M
2000,MARTIN,161,M
2000,KEVIN,159,M
2000,DORIAN,151,M
2000,CYPRIAN,145,M
2000,JANUSZ,143,M
2000,MARCELI,142,M
2000,WITOLD,140,M
2000,AMADEUSZ,137,M
2000,NATAN,129,M
2000,OLIWIER,117,M
2000,MIROSŁAW,116,M
2000,DAVID,115,M
2000,JERZY,114,M
2000,BENIAMIN,105,M
2000,ROMAN,100,M
2000,ZBIGNIEW,99,M
2000,SAMUEL,98,M
2000,BORYS,95,M
2000,KORDIAN,88,M
2000,JÓZEF,86,M
2000,JULIUSZ,83,M
2000,ALEKS,82,M
2000,OLIWER,82,M
2000,SZCZEPAN,81,M
2000,TADEUSZ,79,M
2000,IGNACY,77,M
2000,KLAUDIUSZ,77,M
2000,MAKSYM,77,M
2000,NICOLAS,77,M
2000,RYSZARD,76,M
2000,ALEXANDER,75,M
2000,BRUNO,75,M
2000,JONASZ,74,M
2000,WALDEMAR,71,M
2000,ALEKSY,70,M
2000,MICHAEL,70,M
2000,ALEX,67,M
2000,BOGDAN,66,M
2000,EMANUEL,65,M
2000,JONATAN,64,M
2000,IRENEUSZ,61,M
2000,OLGIERD,60,M
2000,ERWIN,59,M
2000,SERGIUSZ,59,M
2000,NIKOLAS,55,M
2000,OLIVER,54,M
2000,JEREMI,53,M
2000,LESZEK,53,M
2000,PATRICK,53,M
2000,KASPER,52,M
2000,KORNELIUSZ,52,M
2000,STEFAN,51,M
2000,JOACHIM,50,M
2000,MIESZKO,46,M
2000,IWO,45,M
2000,OKTAWIAN,45,M
2000,MAXIMILIAN,44,M
2000,MAURYCY,43,M
2000,NATANIEL,42,M
2000,JEREMIASZ,38,M
2000,TYMON,37,M
2000,FRYDERYK,36,M
2000,EMILIAN,35,M
2000,KRYSPIN,35,M
2000,BERNARD,33,M
2000,CHRISTIAN,33,M
2000,GERARD,33,M
2000,THOMAS,33,M
2000,WŁADYSŁAW,33,M
2000,BOGUSŁAW,32,M
2000,KASJAN,32,M
2000,LEON,32,M
2000,HENRYK,31,M
2000,KSAWERY,31,M
2000,ELIASZ,30,M
2000,KONSTANTY,30,M
2000,ARON,28,M
2000,DENNIS,27,M
2000,MATTHEW,27,M
2000,JORDAN,26,M
2000,MATTEO,26,M
2000,ROLAND,26,M
2000,MARCO,25,M
2000,MARIAN,25,M
2000,NICHOLAS,25,M
2000,OSCAR,25,M
2000,SIMON,25,M
2000,FLORIAN,24,M
2000,GUSTAW,24,M
2000,KAZIMIERZ,23,M
2000,MILAN,22,M
2000,PAUL,22,M
2000,PHILIP,22,M
2000,ZACHARIASZ,21,M
2000,CHRISTOPHER,20,M
2000,JACOB,20,M
2000,PASCAL,20,M
2000,TYTUS,20,M
2000,BENJAMIN,19,M
2000,LEONARD,19,M
2000,LUKAS,19,M
2000,BOGUMIŁ,18,M
2000,ANDREAS,17,M
2000,BOGUSZ,17,M
2000,OLIVIER,17,M
2000,OMAR,17,M
2000,VICTOR,17,M
2000,BRIAN,16,M
2000,LUCA,16,M
2000,LUCJAN,16,M
2000,PETER,16,M
2000,ZIEMOWIT,16,M
2000,ALESSANDRO,15,M
2000,BENEDYKT,15,M
2000,DASTIN,15,M
2000,EDWIN,15,M
2000,JOHN,15,M
2000,KOSMA,15,M
2000,LUCAS,15,M
2000,MARIO,15,M
2000,MARK,15,M
2000,MARKUS,15,M
2000,OLEKSANDR,15,M
2000,WIESŁAW,15,M
2000,ARIEL,14,M
2000,BRANDON,14,M
2000,DAVIDE,14,M
2000,ERIK,14,M
2000,MAX,14,M
2000,NICO,14,M
2000,NORMAN,14,M
2000,VIKTOR,14,M
2000,ANTONIO,13,M
2000,ARNOLD,13,M
2000,BRUNON,13,M
2000,EDGAR,13,M
2000,ERIC,13,M
2000,JONATHAN,13,M
2000,JUSTIN,13,M
2000,LUDWIK,13,M
2000,MARTYN,13,M
2000,MIRON,13,M
2000,NIKITA,13,M
2000,ANGELO,12,M
2000,CRISTIAN,12,M
2000,MARKO,12,M
2000,MICHEL,12,M
2000,ROCH,12,M
2000,VLADYSLAV,12,M
2000,ANTON,11,M
2000,IVAN,11,M
2000,JAROMIR,11,M
2000,KRISTIAN,11,M
2000,MANUEL,11,M
2000,NATHAN,11,M
2000,PATRYCJUSZ,11,M
2000,ROBIN,11,M
2000,SIMONE,11,M
2000,TRISTAN,11,M
